"SubscriptionName","ResourceGroupName","Location","VmName","NSG","Subnetname"
"RBUK_DEV_TESTMOVE4_Azure","0a15_TESTMOVE4_RG_TESTVMS","uksouth","TESTVM1","0a15_TESTMOVE4_NSG_10.74.61.48-28","0a15_TESTMOVE4_10.74.61.48-28"
"RBUK_DEV_TESTMOVE4_Azure","0a15_TESTMOVE4_RG_TESTVMUNMANAGED","uksouth","TESTVM2","0a15_TESTMOVE4_NSG_10.74.61.48-28","0a15_TESTMOVE4_10.74.61.48-28"
"SANSERVICES_PRE_SHARED_AZURE","4715_PRESHARED_RG_AD","uksouth","dcsrvcivwcm03",,"4715_PRESHARED_10.75.0.0-24_AZ1"
"SANSERVICES_PRE_SHARED_AZURE","4715_PRESHARED_RG_AD","uksouth","dcsrvcivwcm04",,"4715_PRESHARED_10.75.1.0-24_AZ2"
"SANSERVICES_PRE_SHARED_AZURE","4715_PRESHARED_RG_AD","uksouth","dcsrvcivwcm05",,"4715_PRESHARED_10.75.2.0-24_AZ3"
"SANSERVICES_PRE_SHARED_AZURE","4715_PRESHARED_RG_AD","uksouth","dcsrvcivwsk15",,"4715_PRESHARED_10.75.0.0-24_AZ1"
"SANSERVICES_PRE_SHARED_AZURE","4715_PRESHARED_RG_AD","uksouth","dcsrvcivwsk16",,"4715_PRESHARED_10.75.1.0-24_AZ2"
"SANSERVICES_PRE_SHARED_AZURE","4715_PRESHARED_RG_AD","uksouth","dcsrvcivwsk17",,"4715_PRESHARED_10.75.2.0-24_AZ3"
"SANSERVICES_PRE_SHARED_AZURE","4715_PRESHARED_RG_AD","uksouth","dcsrvcivwsk18",,"4715_PRESHARED_10.75.0.0-24_AZ1"
"SANSERVICES_PRE_SHARED_AZURE","4715_PRESHARED_RG_AD","uksouth","dcsrvcivwsk19",,"4715_PRESHARED_10.75.1.0-24_AZ2"
"SANSERVICES_PRE_SHARED_AZURE","4715_PRESHARED_RG_AD","uksouth","dcsrvcivwsk20",,"4715_PRESHARED_10.75.2.0-24_AZ3"
"SANSERVICES_PRE_SHARED_AZURE","4715_PRESHARED_RG_AD","uksouth","dcsrvcivwsk21",,"4715_PRESHARED_10.75.0.0-24_AZ1"
